ril.id,sex,emmean,SE,df,lower.CL,upper.CL,gen
AB,Males,0.277900486,0.028673485,13,0.215955188,0.339845783,Parental
PESAB20,Males,0.367743879,0.026175191,13,0.311195818,0.424291941,Hybrid
PES,Males,0.404050161,0.028673485,13,0.342104863,0.465995458,Parental
PESAB20,Females,0.314378066,0.023030292,21,0.266483952,0.36227218,Hybrid
PES,Females,0.277667104,0.028206232,21,0.219009033,0.336325174,Parental
ABCAT11,Males,0.417586842,0.083270395,9,0.229216121,0.605957563,Hybrid
CATAB27,Males,0.488789191,0.083270395,9,0.300418469,0.677159912,Hybrid
CAT,Males,0.231365799,0.058881061,9,0.098167585,0.364564013,Parental
